"Mode 1","q = (0.000, 0.000, 0.000), band = 1"
"Mode 2","q = (0.000, 0.000, 0.000), band = 2"

"Modulation #","Q_1 [amu^1/2 A]","Q_2 [amu^1/2 A]"
"841","6.0","-6.0"
"842","6.0","-5.5"
"843","6.0","-5.0"
"844","6.0","-4.5"
"845","6.0","-4.0"
"846","6.0","-3.5"
"847","6.0","-3.0"
"848","6.0","-2.5"
"849","6.0","-2.0"
"850","6.0","-1.5"
"851","6.0","-1.0"
"852","6.0","-0.5"
"853","6.0","0.0"
"854","6.0","0.5"
"855","6.0","1.0"
"856","6.0","1.5"
"857","6.0","2.0"
"858","6.0","2.5"
"859","6.0","3.0"
"860","6.0","3.5"
"861","6.0","4.0"
"862","6.0","4.5"
"863","6.0","5.0"
"864","6.0","5.5"
"865","6.0","6.0"
"866","6.0","6.5"
"867","6.0","7.0"
"868","6.0","7.5"
"869","6.5","-7.5"
"870","6.5","-7.0"
"871","6.5","-6.5"
"872","6.5","-6.0"
"873","6.5","-5.5"
"874","6.5","-5.0"
"875","6.5","-4.5"
"876","6.5","-4.0"
"877","6.5","-3.5"
"878","6.5","-3.0"
"879","6.5","-2.5"
"880","6.5","-2.0"
"881","6.5","-1.5"
"882","6.5","-1.0"
"883","6.5","-0.5"
"884","6.5","0.0"
"885","6.5","0.5"
"886","6.5","1.0"
"887","6.5","1.5"
"888","6.5","2.0"
"889","6.5","2.5"
"890","6.5","3.0"
"891","6.5","3.5"
"892","6.5","4.0"
"893","6.5","4.5"
"894","6.5","5.0"
"895","6.5","5.5"
"896","6.5","6.0"
"897","6.5","6.5"
"898","6.5","7.0"
"899","6.5","7.5"
"900","7.0","-7.5"
"901","7.0","-7.0"
"902","7.0","-6.5"
"903","7.0","-6.0"
"904","7.0","-5.5"
"905","7.0","-5.0"
"906","7.0","-4.5"
"907","7.0","-4.0"
"908","7.0","-3.5"
"909","7.0","-3.0"
"910","7.0","-2.5"
"911","7.0","-2.0"
"912","7.0","-1.5"
"913","7.0","-1.0"
"914","7.0","-0.5"
"915","7.0","0.0"
"916","7.0","0.5"
"917","7.0","1.0"
"918","7.0","1.5"
"919","7.0","2.0"
"920","7.0","2.5"
"921","7.0","3.0"
"922","7.0","3.5"
"923","7.0","4.0"
"924","7.0","4.5"
"925","7.0","5.0"
"926","7.0","5.5"
"927","7.0","6.0"
"928","7.0","6.5"
"929","7.0","7.0"
"930","7.0","7.5"
"931","7.5","-7.5"
"932","7.5","-7.0"
"933","7.5","-6.5"
"934","7.5","-6.0"
"935","7.5","-5.5"
"936","7.5","-5.0"
"937","7.5","-4.5"
"938","7.5","-4.0"
"939","7.5","-3.5"
"940","7.5","-3.0"
"941","7.5","-2.5"
"942","7.5","-2.0"
"943","7.5","-1.5"
"944","7.5","-1.0"
"945","7.5","-0.5"
"946","7.5","0.0"
"947","7.5","0.5"
"948","7.5","1.0"
"949","7.5","1.5"
"950","7.5","2.0"
"951","7.5","2.5"
"952","7.5","3.0"
"953","7.5","3.5"
"954","7.5","4.0"
"955","7.5","4.5"
"956","7.5","5.0"
"957","7.5","5.5"
"958","7.5","6.0"
"959","7.5","6.5"
"960","7.5","7.0"
"961","7.5","7.5"
